background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
3326,0.020477560415586987,8,42,mse_model_clean,default,0.0024052916416115455,0.048443113856534624,10139392847.331367,0.05480122379309904,0.358974358974359,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.053228616017303915,0.05012594301186423,0.001,,40,input_specific_validation_background
11481,-0.09842379425389956,123,129,bce_rec_anchor_model_clean,narrow,0.010713352495427228,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.4777777777777778,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.056028325231619144,-0.0035743106837503973,0.01,,120,input_specific_validation_background
3577,-0.09842379425389956,39,55,bce_rec_anchor_model_clean,narrow,0.01090299133351971,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.056028325231619144,-0.0035743106837503973,0.01,,40,input_specific_validation_background
11481,-0.09842379425389956,9,103,bce_rec_anchor_model_clean,narrow,0.0007839038411288215,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.3814814814814815,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.056028325231619144,-0.0035743106837503973,0.001,,120,input_specific_validation_background
3577,-0.09842379425389956,7,44,bce_rec_anchor_model_clean,narrow,0.0019569471624266144,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.37606837606837606,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.056028325231619144,-0.0035743106837503973,0.001,,40,input_specific_validation_background
11481,-0.09842379425389956,123,129,bce_rec_anchor_model_clean,narrow,0.010713352495427228,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.4777777777777778,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.056028325231619144,-0.0035743106837503973,0.01,,120,input_specific_validation_background
3577,-0.09842379425389956,39,55,bce_rec_anchor_model_clean,narrow,0.01090299133351971,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.056028325231619144,-0.0035743106837503973,0.01,,40,input_specific_validation_background
11481,-0.09842379425389956,9,103,bce_rec_anchor_model_clean,narrow,0.0007839038411288215,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.3814814814814815,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.056028325231619144,-0.0035743106837503973,0.001,,120,input_specific_validation_background
3577,-0.09842379425389956,7,44,bce_rec_anchor_model_clean,narrow,0.0019569471624266144,0.0490234113069278,1619806752.8283515,-0.032903378059764066,0.37606837606837606,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.056028325231619144,-0.0035743106837503973,0.001,,40,input_specific_validation_background
10839,-0.09994751670765877,118,164,bce_rec_anchor_model_clean,default,0.010886613156195222,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.6074074074074074,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.062079255575160426,-0.0093802289336167,0.01,,120,input_specific_validation_background
3326,-0.09994751670765877,35,60,bce_rec_anchor_model_clean,default,0.010523150932050512,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.5128205128205128,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.062079255575160426,-0.0093802289336167,0.01,,40,input_specific_validation_background
