background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,source_stage,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
14165,-0.09994751670765877,0.0016761540437986912,0.0007009527182560896,0.00026492295350311453,0.10373555495834454,16,3319,16,0.0011282657682148895,0.003410265797264057,bce_rec_anchor_model_clean,default,0.0011295446523120368,56,0.08196721311475408,61,0.9180327868852459,0.0490234113069278,1619806752.8283515,-0.030316775590087275,56,0.7241379310344828,203,0.27586206896551724,0.9234449760765551,0.054954441913439636,,D3-Rerun,cfar_margin,0,,0,,0.062079255575160426,-0.0093802289336167,0.001,non_overlap_only,,5.443036824096579,input_specific_validation_background,193,0,1.0,142,0.0
15058,-0.044398957931195554,0.012206739552848796,0.00932911295210297,0.0007237728351668385,0.1875,161,2127,161,0.010334498938895636,0.009386708460434991,balanced_mild_model_clean,narrow,0.010691990968256076,88,0.22807017543859653,114,0.7719298245614035,0.04496563823807927,1587008660.5105777,-0.016112480420467534,184,0.524547803617571,387,0.4754521963824289,0.6211764705882353,0.11041405269761606,,D4,clean_peak_percentile,30,0.0,30,1.0,0.06060239976669781,0.006661449820332879,0.01,all,,3.8920161136986504,input_specific_validation_background,264,66,0.7283950617283951,243,0.2716049382716049
15058,-0.044398957931195554,0.012206739552848796,0.00932911295210297,0.0007237728351668385,0.1875,161,2127,161,0.010334498938895636,0.009386708460434991,balanced_mild_model_clean,narrow,0.010691990968256076,54,0.20588235294117652,68,0.7941176470588235,0.04496563823807927,1587008660.5105777,-0.016112480420467534,122,0.5836177474402731,293,0.41638225255972694,0.6211764705882353,0.11041405269761606,,D4,clean_peak_percentile,8,0.0,8,1.0,0.06060239976669781,0.006661449820332879,0.01,non_overlap_only,,3.8920161136986504,input_specific_validation_background,264,60,0.7235023041474654,217,0.2764976958525346
15058,-0.044398957931195554,0.0018877453263612236,0.0008579423891804592,0.00027611134448424354,0.14894433781190022,20,2197,20,0.0013173672086325282,0.0034960668567225674,balanced_mild_model_clean,narrow,0.0013281976358082083,85,0.2543859649122807,114,0.7456140350877193,0.04496563823807927,1587008660.5105777,-0.016112480420467534,150,0.6124031007751938,387,0.3875968992248062,0.9065420560747663,0.08113759933082393,,D4,clean_peak_percentile,30,0.0,30,1.0,0.06060239976669781,0.006661449820332879,0.001,all,,5.379041540399856,input_specific_validation_background,194,35,0.8559670781893004,243,0.1440329218106996
15058,-0.044398957931195554,0.0018877453263612236,0.0008579423891804592,0.00027611134448424354,0.14894433781190022,20,2197,20,0.0013173672086325282,0.0034960668567225674,balanced_mild_model_clean,narrow,0.0013281976358082083,53,0.22058823529411764,68,0.7794117647058824,0.04496563823807927,1587008660.5105777,-0.016112480420467534,92,0.6860068259385665,293,0.31399317406143346,0.9065420560747663,0.08113759933082393,,D4,clean_peak_percentile,8,0.0,8,1.0,0.06060239976669781,0.006661449820332879,0.001,non_overlap_only,,5.379041540399856,input_specific_validation_background,194,31,0.8571428571428572,217,0.14285714285714285
15058,-0.044398957931195554,0.012206739552848796,0.00932911295210297,0.0007237728351668385,0.1875,161,2127,161,0.010334498938895636,0.009386708460434991,balanced_mild_model_clean,narrow,0.010691990968256076,142,0.1597633136094675,169,0.8402366863905325,0.04496563823807927,1587008660.5105777,-0.016112480420467534,184,0.524547803617571,387,0.4754521963824289,0.6211764705882353,0.11041405269761606,,D4,cfar_margin,42,0.0,42,1.0,0.06060239976669781,0.006661449820332879,0.01,all,,3.8920161136986504,input_specific_validation_background,264,0,1.0,176,0.0
15058,-0.044398957931195554,0.012206739552848796,0.00932911295210297,0.0007237728351668385,0.1875,161,2127,161,0.010334498938895636,0.009386708460434991,balanced_mild_model_clean,narrow,0.010691990968256076,104,0.20610687022900764,131,0.7938931297709924,0.04496563823807927,1587008660.5105777,-0.016112480420467534,122,0.5836177474402731,293,0.41638225255972694,0.6211764705882353,0.11041405269761606,,D4,cfar_margin,18,0.0,18,1.0,0.06060239976669781,0.006661449820332879,0.01,non_overlap_only,,3.8920161136986504,input_specific_validation_background,264,0,1.0,144,0.0
15058,-0.044398957931195554,0.0018877453263612236,0.0008579423891804592,0.00027611134448424354,0.14894433781190022,20,2197,20,0.0013173672086325282,0.0034960668567225674,balanced_mild_model_clean,narrow,0.0013281976358082083,108,0.36094674556213013,169,0.6390532544378699,0.04496563823807927,1587008660.5105777,-0.016112480420467534,150,0.6124031007751938,387,0.3875968992248062,0.9065420560747663,0.08113759933082393,,D4,cfar_margin,42,0.0,42,1.0,0.06060239976669781,0.006661449820332879,0.001,all,,5.379041540399856,input_specific_validation_background,194,0,1.0,176,0.0
15058,-0.044398957931195554,0.0018877453263612236,0.0008579423891804592,0.00027611134448424354,0.14894433781190022,20,2197,20,0.0013173672086325282,0.0034960668567225674,balanced_mild_model_clean,narrow,0.0013281976358082083,74,0.43511450381679384,131,0.5648854961832062,0.04496563823807927,1587008660.5105777,-0.016112480420467534,92,0.6860068259385665,293,0.31399317406143346,0.9065420560747663,0.08113759933082393,,D4,cfar_margin,18,0.0,18,1.0,0.06060239976669781,0.006661449820332879,0.001,non_overlap_only,,5.379041540399856,input_specific_validation_background,194,0,1.0,144,0.0
14165,-0.044751302165224965,0.012414858227746371,0.00938566448762382,0.0007590769430593092,0.13719512195121952,154,3242,154,0.010392613696586759,0.009930759359901637,balanced_mild_model_clean,default,0.010871867278503353,80,0.024390243902439046,82,0.975609756097561,0.04496563823807927,1587008660.5105777,-0.014369330865868335,224,0.4211886304909561,387,0.5788113695090439,0.6367924528301887,0.07687927107061504,,D4,clean_peak_percentile,43,0.0,43,1.0,0.065643709862658,0.0018016373732039268,0.01,all,,3.9020908619305015,input_specific_validation_background,270,101,0.6145038167938932,262,0.38549618320610685
14165,-0.044751302165224965,0.012414858227746371,0.00938566448762382,0.0007590769430593092,0.13719512195121952,154,3242,154,0.010392613696586759,0.009930759359901637,balanced_mild_model_clean,default,0.010871867278503353,14,0.0,14,1.0,0.04496563823807927,1587008660.5105777,-0.014369330865868335,86,0.5763546798029557,203,0.4236453201970443,0.6367924528301887,0.07687927107061504,,D4,clean_peak_percentile,0,,0,,0.065643709862658,0.0018016373732039268,0.01,non_overlap_only,,3.9020908619305015,input_specific_validation_background,270,72,0.6190476190476191,189,0.38095238095238093
14165,-0.044751302165224965,0.0020115776834473166,0.0009068863974684542,0.0002940216546891256,0.10413311862587224,20,3318,20,0.0014228650720085345,0.003793311769113526,balanced_mild_model_clean,default,0.0014119308153900459,79,0.03658536585365857,82,0.9634146341463414,0.04496563823807927,1587008660.5105777,-0.014369330865868335,184,0.524547803617571,387,0.4754521963824289,0.9065420560747663,0.055239179954441914,,D4,clean_peak_percentile,43,0.0,43,1.0,0.065643709862658,0.0018016373732039268,0.001,all,,5.378603476214496,input_specific_validation_background,194,62,0.7633587786259541,262,0.2366412213740458
14165,-0.044751302165224965,0.0020115776834473166,0.0009068863974684542,0.0002940216546891256,0.10413311862587224,20,3318,20,0.0014228650720085345,0.003793311769113526,balanced_mild_model_clean,default,0.0014119308153900459,14,0.0,14,1.0,0.04496563823807927,1587008660.5105777,-0.014369330865868335,56,0.7241379310344828,203,0.27586206896551724,0.9065420560747663,0.055239179954441914,,D4,clean_peak_percentile,0,,0,,0.065643709862658,0.0018016373732039268,0.001,non_overlap_only,,5.378603476214496,input_specific_validation_background,194,42,0.7777777777777778,189,0.2222222222222222
14165,-0.044751302165224965,0.012414858227746371,0.00938566448762382,0.0007590769430593092,0.13719512195121952,154,3242,154,0.010392613696586759,0.009930759359901637,balanced_mild_model_clean,default,0.010871867278503353,154,0.0,154,1.0,0.04496563823807927,1587008660.5105777,-0.014369330865868335,224,0.4211886304909561,387,0.5788113695090439,0.6367924528301887,0.07687927107061504,,D4,cfar_margin,36,0.0,36,1.0,0.065643709862658,0.0018016373732039268,0.01,all,,3.9020908619305015,input_specific_validation_background,270,34,0.8274111675126904,197,0.17258883248730963
