background_energy_increase_db,class_group,hit_count,input_type,mask_name,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold_source
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,pedestrian_like,116,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.5979381443298969,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,194,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,vehicle_like,38,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.8260869565217391,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,46,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,cyclist_like,10,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.09174311926605505,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,109,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,pedestrian_like,86,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.5548387096774193,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,155,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,vehicle_like,22,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.7586206896551724,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,29,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,cyclist_like,14,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.09523809523809523,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,147,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,pedestrian_like,95,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.4896907216494845,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,194,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,vehicle_like,33,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.717391304347826,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,46,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,cyclist_like,3,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.027522935779816515,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,109,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,pedestrian_like,67,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.432258064516129,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,155,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,vehicle_like,20,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.6896551724137931,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,29,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,cyclist_like,24,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.16326530612244897,D2A_fixed_pfa,,D3-Rerun,cfar_margin,147,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,pedestrian_like,116,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.5979381443298969,D2A_fixed_pfa,,D3-Rerun,cfar_margin,194,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
