angle_total_width_bins,axis_sign,bin_mode,candidate,formula,hit_count,mean_abs_peak_angle_error_deg,mean_contrast_db,overlap_ratio,projection_hit_rate,range_mask_name,subset,target_count,unit_mode
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,37.78538992752629,7.927237910850375,0.0,0.011764705882352941,wide,non_overlap_only_weak,255,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,wide,overlap_only_weak,0,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",59,32.6206675016644,9.88089055300375,0.19638242894056848,0.1524547803617571,wide,all,387,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",8,37.78538992752629,8.883235632204542,0.054901960784313725,0.03137254901960784,wide,weak,255,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",26,24.475386537594556,10.697456750002774,0.45454545454545453,0.29545454545454547,wide,mid,88,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",25,18.97931537083181,14.029621904546564,0.5,0.5681818181818182,wide,strong,44,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",8,38.34580570720644,8.919749976193756,0.0,0.03319502074688797,wide,non_overlap_only_weak,241,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,28.138232577318142,8.254667282104492,1.0,0.0,wide,overlap_only_weak,14,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",67,32.6206675016644,10.549821296711608,0.25839793281653745,0.1731266149870801,wide,all,387,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",13,37.78538992752629,9.683483108819699,0.09803921568627451,0.050980392156862744,wide,weak,255,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",28,24.475386537594556,11.076249165968461,0.5340909090909091,0.3181818181818182,wide,mid,88,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",26,18.97931537083181,14.517789147116922,0.6363636363636364,0.5909090909090909,wide,strong,44,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",13,38.90917986066184,9.826300712253737,0.0,0.05652173913043478,wide,non_overlap_only_weak,230,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,27.446522542679205,8.369561157226563,1.0,0.0,wide,overlap_only_weak,25,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",84,32.6206675016644,11.473932645733658,0.3023255813953488,0.21705426356589147,wide,all,387,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",24,37.78538992752629,10.789109248741001,0.12941176470588237,0.09411764705882353,wide,weak,255,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",29,24.475386537594556,11.639750133861195,0.5681818181818182,0.32954545454545453,wide,mid,88,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",31,18.97931537083181,15.111160538413309,0.7727272727272727,0.7045454545454546,wide,strong,44,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",24,39.14021337774027,11.0388335666141,0.0,0.10810810810810811,wide,non_overlap_only_weak,222,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,28.671123080632185,9.109145655776516,1.0,0.0,wide,overlap_only_weak,33,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",12,64.98783601934387,5.1523252975109015,0.03875968992248062,0.031007751937984496,narrow,all,387,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,73.8352023070728,4.926884388236843,0.0,0.0205761316872428,narrow,weak,243,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",4,50.797222427008364,5.627452950728567,0.09649122807017543,0.03508771929824561,narrow,mid,114,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",3,47.24850073961441,5.172911580403646,0.13333333333333333,0.1,narrow,strong,30,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,73.8352023070728,4.926884388236843,0.0,0.0205761316872428,narrow,non_overlap_only_weak,243,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",17,64.98783601934387,5.715250552470678,0.10335917312661498,0.04392764857881137,narrow,all,387,degrees_correct
