background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
5675,8.93221484967757,6,0,interfered,default,0.0010572687224669603,32.38561065079066,73728885418662.14,1.735754116987792,0.0,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.10428872650584115,0.09881345107434011,0.001,-10.0,64,input_specific_validation_background
5675,8.93221484967757,54,52,interfered,default,0.009515418502202643,32.38561065079066,73728885418662.14,1.735754116987792,0.3291139240506329,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.10428872650584115,0.09881345107434011,0.01,-10.0,64,input_specific_validation_background
5675,8.93221484967757,6,0,interfered,default,0.0010572687224669603,32.38561065079066,73728885418662.14,1.735754116987792,0.0,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.10428872650584115,0.09881345107434011,0.001,-10.0,64,input_specific_validation_background
6046,0.6600247933689298,86,95,model_output,narrow,0.014224280516043665,1.7664886439218386,8588138744161.994,0.7390909714672631,0.6012658227848101,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.4472974695157677,-0.41819128104618825,0.01,-10.0,64,input_specific_validation_background
6046,0.6600247933689298,15,85,model_output,narrow,0.0024809791597750577,1.7664886439218386,8588138744161.994,0.7390909714672631,0.5379746835443038,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.4472974695157677,-0.41819128104618825,0.001,-10.0,64,input_specific_validation_background
6046,0.6600247933689298,86,95,model_output,narrow,0.014224280516043665,1.7664886439218386,8588138744161.994,0.7390909714672631,0.6012658227848101,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.4472974695157677,-0.41819128104618825,0.01,-10.0,64,input_specific_validation_background
6046,0.6600247933689298,15,85,model_output,narrow,0.0024809791597750577,1.7664886439218386,8588138744161.994,0.7390909714672631,0.5379746835443038,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.4472974695157677,-0.41819128104618825,0.001,-10.0,64,input_specific_validation_background
5675,0.6550210324288217,82,125,model_output,default,0.014449339207048459,1.7664886439218386,8588138744161.994,0.7549436585997427,0.7911392405063291,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.46492938084888114,-0.43177213075194765,0.01,-10.0,64,input_specific_validation_background
5675,0.6550210324288217,13,114,model_output,default,0.0022907488986784142,1.7664886439218386,8588138744161.994,0.7549436585997427,0.7215189873417721,D2A_fixed_pfa,severe,2019_04_30_mlms000,clean_peak_percentile,158,0.46492938084888114,-0.43177213075194765,0.001,-10.0,64,input_specific_validation_background
5675,0.6550210324288217,82,125,model_output,default,0.014449339207048459,1.7664886439218386,8588138744161.994,0.7549436585997427,0.7911392405063291,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.46492938084888114,-0.43177213075194765,0.01,-10.0,64,input_specific_validation_background
5675,0.6550210324288217,13,114,model_output,default,0.0022907488986784142,1.7664886439218386,8588138744161.994,0.7549436585997427,0.7215189873417721,D2A_fixed_pfa,severe,2019_04_30_mlms000,cfar_margin,158,0.46492938084888114,-0.43177213075194765,0.001,-10.0,64,input_specific_validation_background
